Sales_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Returned,Cost_Price,Unit_Price
SALE00065,2023-11-02,CUST096,PROD021,1,0,No,168.12,207.48
SALE00066,2023-09-25,CUST176,PROD013,3,25,No,206.11,311.28
SALE00067,2023-02-23,CUST020,PROD009,7,15,No,413.17,604.26
SALE00068,2023-08-24,CUST039,PROD011,7,20,No,343.71,527.8
SALE00069,2024-01-24,CUST060,PROD011,5,5,No,343.71,407.3
SALE00070,2024-02-05,CUST066,PROD006,1,15,No,290.02,329.69
SALE00071,2024-09-15,CUST065,PROD001,8,10,Yes,131.87,152.93
SALE00072,2023-10-30,CUST179,PROD006,8,0,No,290.02,342.37
SALE00073,2023-07-26,CUST124,PROD013,2,0,No,206.11,281.66
SALE00074,2023-08-17,CUST164,PROD022,3,5,No,31.27,49.58
SALE00075,2024-07-31,CUST152,PROD031,4,0,No,497.96,636.7
SALE00076,2023-03-16,CUST155,PROD022,1,30,No,31.27,49.38
SALE00077,2024-03-10,CUST130,PROD037,4,0,No,38.35,42.92
SALE00078,2023-04-13,CUST159,PROD047,5,5,No,137.38,214.78
SALE00079,2024-02-26,CUST057,PROD027,3,10,No,46.96,55.91
SALE00080,2024-12-04,CUST078,PROD050,2,5,No,147.08,228.89
SALE00081,2023-11-02,CUST194,PROD014,6,10,No,244.08,275.35
SALE00082,2023-04-08,CUST029,PROD047,8,0,No,137.38,216.25
SALE00083,2023-12-01,CUST015,PROD005,7,15,No,208.55,250.34
SALE00084,2024-03-10,CUST012,PROD036,1,5,No,479.76,600.35
SALE00085,2024-03-22,CUST101,PROD032,4,10,No,351.49,472.92
SALE00086,2023-11-04,CUST156,PROD034,3,15,No,371.18,478.96
SALE00087,2023-09-06,CUST084,PROD007,6,20,No,373.08,534.91
SALE00088,2023-06-15,CUST125,PROD042,9,20,No,326.96,519.02
SALE00089,2024-04-25,CUST103,PROD048,9,10,No,232.09,325.67
SALE00090,2023-12-01,CUST024,PROD010,7,5,No,374.66,547.28
SALE00091,2024-06-25,CUST149,PROD050,9,10,No,147.08,168.26
SALE00092,2023-04-16,CUST138,PROD017,8,15,No,223.8,316.43
SALE00093,2024-07-16,CUST110,PROD030,5,20,No,154.3,204.74
SALE00094,2023-03-22,CUST078,PROD021,9,0,No,168.12,259.39
SALE00095,2023-05-13,CUST101,PROD013,7,5,No,206.11,266.73
SALE00096,2023-05-18,CUST146,PROD001,5,15,Yes,131.87,189.86
SALE00097,2023-07-03,CUST142,PROD001,8,5,No,131.87,160.1
SALE00098,2024-02-05,CUST162,PROD047,7,5,No,137.38,168.93
SALE00099,2023-11-26,CUST128,PROD033,9,5,No,198.26,255.37
SALE00100,2024-05-22,CUST058,PROD038,1,10,No,203.32,254.56
SALE00101,2023-03-10,CUST076,PROD025,9,30,No,133.97,164.37
SALE00102,2024-06-29,CUST150,PROD026,7,10,No,350.75,394.54
SALE00103,2023-02-22,CUST198,PROD013,1,0,No,206.11,312.95
SALE00104,2024-03-25,CUST036,PROD028,1,0,No,91.45,103.54
SALE00105,2023-07-24,CUST173,PROD033,5,0,No,198.26,306.05
SALE00106,2023-05-06,CUST164,PROD037,8,10,No,38.35,44.59
SALE00107,2023-02-12,CUST022,PROD041,9,10,Yes,93.14,105.49
SALE00108,2023-04-21,CUST127,PROD030,6,0,No,154.3,213.17
SALE00109,2024-10-24,CUST080,PROD049,8,15,Yes,25.83,34.9
SALE00110,2023-07-02,CUST189,PROD048,6,15,No,232.09,312.3
SALE00111,2023-04-05,CUST100,PROD008,6,5,No,385.93,535.38
SALE00112,2024-01-09,CUST184,PROD049,4,5,No,25.83,32.12
SALE00113,2024-06-03,CUST096,PROD047,5,30,No,137.38,196.66
SALE00114,2023-12-26,CUST161,PROD001,2,5,No,131.87,178.18
SALE00115,2024-11-26,CUST173,PROD012,3,15,No,126.38,160.17
SALE00116,2023-10-08,CUST164,PROD005,3,10,No,208.55,315.59
SALE00117,2023-07-14,CUST148,PROD024,5,15,No,460.37,673.92
SALE00118,2023-07-14,CUST018,PROD006,5,15,No,290.02,376.1
SALE00119,2024-10-28,CUST038,PROD025,6,15,No,133.97,204.14
SALE00120,2023-04-03,CUST195,PROD001,5,20,No,131.87,205.73
SALE00121,2024-11-02,CUST151,PROD025,6,25,No,133.97,183.33
SALE00122,2023-03-02,CUST109,PROD001,8,10,No,131.87,159.23
SALE00123,2024-09-25,CUST123,PROD032,2,0,Yes,351.49,547.58
SALE00124,2023-02-20,CUST144,PROD042,4,5,No,326.96,390.63
SALE00125,2024-02-07,CUST187,PROD042,6,15,No,326.96,367.57
SALE00126,2023-01-05,CUST197,PROD003,5,15,No,222.88,281.66
SALE00127,2024-04-10,CUST196,PROD049,1,0,Yes,25.83,37.8
SALE00128,2024-08-26,CUST149,PROD019,9,0,No,489.17,763.91
SALE00129,2024-11-12,CUST104,PROD043,3,15,No,200.25,284.08
SALE00130,2024-06-17,CUST198,PROD029,2,5,No,116.24,183.18
SALE00131,2024-02-09,CUST140,PROD050,9,10,No,147.08,168.58
SALE00132,2024-05-27,CUST144,PROD002,7,15,No,171.82,194.22
SALE00133,2024-10-06,CUST081,PROD009,5,10,No,413.17,579.3
SALE00134,2023-08-21,CUST087,PROD017,6,0,No,223.8,354.29
SALE00135,2024-06-07,CUST142,PROD046,4,0,No,186.57,252.12
SALE00136,2023-12-12,CUST061,PROD036,1,0,No,479.76,540.09
SALE00137,2023-02-15,CUST199,PROD017,4,5,No,223.8,270.93
SALE00138,2024-06-29,CUST046,PROD049,9,10,No,25.83,31.57
SALE00139,2023-03-19,CUST032,PROD012,1,10,No,126.38,160.37
SALE00140,2024-12-30,CUST015,PROD020,3,0,No,282.44,316.84
SALE00141,2023-03-14,CUST044,PROD050,5,0,No,147.08,228.33
SALE00142,2023-09-06,CUST145,PROD003,7,0,Yes,222.88,302.62
SALE00143,2023-02-16,CUST169,PROD043,9,30,No,200.25,287.45
SALE00144,2023-05-01,CUST054,PROD050,6,10,No,147.08,166.73
SALE00145,2023-08-02,CUST044,PROD004,3,20,No,134.3,151.36
SALE00146,2023-08-27,CUST098,PROD017,7,20,No,223.8,311.81
SALE00147,2023-02-25,CUST005,PROD050,4,10,No,147.08,227.04
SALE00148,2023-12-16,CUST109,PROD037,3,15,No,38.35,52.32
SALE00149,2023-04-17,CUST027,PROD046,7,0,No,186.57,287.11
SALE00150,2023-02-17,CUST116,PROD042,7,15,No,326.96,492.24
SALE00151,2024-07-26,CUST087,PROD015,4,5,No,50.62,57.6
SALE00152,2023-12-03,CUST104,PROD033,7,20,No,198.26,238.11
SALE00153,2023-01-26,CUST123,PROD016,2,0,No,268.9,384.22
SALE00154,2023-09-14,CUST079,PROD011,1,15,No,343.71,454.3
SALE00155,2023-01-08,CUST043,PROD020,2,0,No,282.44,351.74
SALE00156,2024-09-16,CUST097,PROD038,4,20,No,203.32,266.21
SALE00157,2023-09-10,CUST031,PROD024,8,5,No,460.37,608.89
SALE00158,2024-11-22,CUST099,PROD016,3,15,Yes,268.9,418.21
SALE00159,2024-12-19,CUST017,PROD030,6,10,No,154.3,177.71
SALE00160,2023-10-30,CUST083,PROD034,6,5,No,371.18,460.21
SALE00161,2024-09-30,CUST110,PROD001,9,10,No,131.87,180.5
SALE00162,2023-02-25,CUST182,PROD024,9,25,No,460.37,667.14
SALE00163,2024-12-26,CUST190,PROD024,4,0,No,460.37,651.57
SALE00164,2024-06-09,CUST032,PROD009,9,25,No,413.17,649.02
SALE00165,2024-04-18,CUST168,PROD022,6,10,Yes,31.27,46.84
SALE00166,2023-01-28,CUST141,PROD012,2,20,No,126.38,174.22
SALE00167,2023-03-19,CUST035,PROD017,6,5,No,223.8,270.2
SALE00168,2023-08-04,CUST133,PROD025,2,10,No,133.97,177.57
SALE00169,2024-01-21,CUST029,PROD028,8,20,No,91.45,132.3
SALE00170,2023-12-31,CUST070,PROD015,4,5,Yes,50.62,76.89
SALE00171,2024-10-27,CUST153,PROD030,5,10,No,154.3,243.77
SALE00172,2024-06-09,CUST095,PROD027,8,0,No,46.96,65.87
SALE00173,2024-11-29,CUST022,PROD022,8,0,No,31.27,42.64
SALE00174,2023-11-08,CUST194,PROD010,6,10,No,374.66,415.44
SALE00175,2023-01-07,CUST173,PROD031,4,15,Yes,497.96,565.71
SALE00176,2023-01-03,CUST069,PROD027,1,10,No,46.96,55.32
SALE00177,2024-09-14,CUST089,PROD012,7,0,No,126.38,142.48
SALE00178,2023-12-29,CUST072,PROD046,8,5,No,186.57,242.62
SALE00179,2024-05-22,CUST129,PROD031,9,5,No,497.96,631.63
SALE00180,2023-10-01,CUST172,PROD032,2,10,No,351.49,498.65
SALE00181,2024-05-20,CUST087,PROD032,1,20,Yes,351.49,480.78
SALE00182,2023-01-15,CUST096,PROD041,4,15,No,93.14,130.21
SALE00183,2023-07-11,CUST075,PROD045,5,0,No,140.31,187.45
SALE00184,2024-09-22,CUST167,PROD035,1,20,No,458.47,567.98
SALE00185,2024-04-29,CUST054,PROD046,5,10,No,186.57,294.11
SALE00186,2023-01-28,CUST088,PROD021,6,15,No,168.12,192.2
SALE00187,2024-12-14,CUST157,PROD010,3,0,No,374.66,588.01
SALE00188,2023-02-08,CUST054,PROD016,7,15,No,268.9,337.64
SALE00189,2023-09-30,CUST016,PROD007,6,0,No,373.08,506.02
SALE00190,2023-08-19,CUST099,PROD004,4,5,No,134.3,155.04
SALE00191,2023-03-27,CUST020,PROD027,3,0,No,46.96,53.32
SALE00192,2024-04-18,CUST046,PROD025,5,0,No,133.97,176.14
SALE00193,2023-05-06,CUST195,PROD031,3,0,No,497.96,732.42
SALE00194,2024-06-20,CUST193,PROD011,9,0,No,343.71,424.37
SALE00195,2023-05-25,CUST127,PROD048,9,0,No,232.09,320.56
SALE00196,2024-06-08,CUST058,PROD020,6,15,No,282.44,350.04
SALE00197,2023-07-31,CUST181,PROD036,6,0,No,479.76,620.96
SALE00198,2023-01-25,CUST111,PROD017,4,10,No,223.8,347.61
SALE00199,2024-08-02,CUST129,PROD045,4,0,No,140.31,214.38
SALE00200,2024-01-29,CUST081,PROD011,2,25,No,343.71,466.76
SALE00201,2023-03-08,CUST194,PROD030,4,25,No,154.3,188.1
SALE00202,2023-08-21,CUST157,PROD035,8,0,No,458.47,548.6
SALE00203,2023-04-19,CUST084,PROD041,2,10,No,93.14,146.89
SALE00204,2023-05-26,CUST070,PROD038,9,0,No,203.32,244.26
SALE00205,2023-04-21,CUST008,PROD022,1,25,No,31.27,47.03
SALE00206,2023-08-16,CUST029,PROD043,2,10,No,200.25,257.22
SALE00207,2023-04-21,CUST112,PROD048,2,0,No,232.09,369.68
SALE00208,2024-04-14,CUST179,PROD027,6,5,No,46.96,60.3
SALE00209,2023-02-03,CUST161,PROD037,7,0,No,38.35,48.93
SALE00210,2024-09-14,CUST131,PROD046,3,5,No,186.57,264.69
SALE00211,2024-01-04,CUST188,PROD049,9,15,No,25.83,40.83
SALE00212,2024-08-17,CUST163,PROD035,5,10,No,458.47,728.1
SALE00213,2024-07-07,CUST197,PROD004,5,5,No,134.3,195.22
SALE00214,2024-02-29,CUST108,PROD016,4,0,No,268.9,397.25
SALE00215,2024-09-04,CUST109,PROD016,9,0,Yes,268.9,371.54
SALE00216,2024-06-01,CUST020,PROD021,8,0,No,168.12,248.46
SALE00217,2024-11-22,CUST073,PROD026,4,20,No,350.75,536.61
SALE00218,2023-10-09,CUST167,PROD036,4,0,Yes,479.76,644.34
SALE00219,2023-11-16,CUST004,PROD019,2,10,No,489.17,689.7
SALE00220,2024-03-18,CUST019,PROD017,9,5,No,223.8,306.31
SALE00221,2023-11-11,CUST102,PROD045,3,0,No,140.31,193.8
SALE00222,2024-01-12,CUST173,PROD026,4,10,No,350.75,541.92
SALE00223,2023-10-16,CUST171,PROD022,7,10,No,31.27,39.96
SALE00224,2024-03-12,CUST141,PROD028,8,5,No,91.45,110.11
SALE00225,2024-10-23,CUST141,PROD001,8,10,No,131.87,175.14
SALE00226,2023-10-04,CUST188,PROD044,4,10,No,122.4,147.37
SALE00227,2024-12-10,CUST185,PROD036,7,5,No,479.76,647.29
SALE00228,2024-08-04,CUST086,PROD043,1,10,No,200.25,310.74
SALE00229,2024-05-17,CUST052,PROD037,6,15,No,38.35,54.02
SALE00230,2024-09-15,CUST111,PROD002,6,0,No,171.82,262.49
SALE00231,2024-05-30,CUST181,PROD017,6,10,No,223.8,264.78
SALE00232,2023-12-16,CUST109,PROD040,2,0,Yes,174.47,270.5
SALE00233,2024-03-21,CUST086,PROD038,8,0,No,203.32,284.83
SALE00234,2023-12-16,CUST043,PROD021,5,10,No,168.12,187.6
SALE00235,2024-08-29,CUST200,PROD009,5,20,No,413.17,585.28
SALE00236,2024-10-25,CUST200,PROD013,2,20,No,206.11,324.77
SALE00237,2023-05-17,CUST042,PROD011,4,0,No,343.71,391.69
SALE00238,2023-08-31,CUST090,PROD016,9,5,No,268.9,374.1
SALE00239,2024-06-26,CUST115,PROD016,9,10,No,268.9,418.88
SALE00240,2023-02-09,CUST026,PROD002,6,0,No,171.82,189.83
SALE00241,2023-08-17,CUST151,PROD042,9,15,No,326.96,462.8
SALE00242,2024-07-01,CUST043,PROD044,4,15,No,122.4,163.7
SALE00243,2023-08-11,CUST077,PROD008,1,25,No,385.93,491.48
SALE00244,2023-01-06,CUST156,PROD043,2,0,No,200.25,283.11
SALE00245,2023-11-18,CUST137,PROD042,1,0,No,326.96,368.27
SALE00246,2024-04-12,CUST020,PROD013,8,20,No,206.11,304.33
SALE00247,2023-03-16,CUST184,PROD017,9,15,No,223.8,246.68
SALE00248,2023-01-04,CUST039,PROD039,6,20,No,62.31,78.1
SALE00249,2024-10-07,CUST179,PROD024,2,0,Yes,460.37,622.41
SALE00250,2023-04-28,CUST012,PROD003,6,10,No,222.88,287.18
SALE00251,2024-08-28,CUST183,PROD030,9,10,No,154.3,193.45
SALE00252,2024-05-18,CUST011,PROD013,3,0,No,206.11,312.34
SALE00253,2024-07-27,CUST154,PROD019,9,10,No,489.17,766.73
SALE00254,2024-03-16,CUST042,PROD007,2,10,No,373.08,573.37
SALE00255,2023-07-13,CUST155,PROD009,5,0,No,413.17,562.41
SALE00256,2024-12-15,CUST011,PROD019,2,5,No,489.17,754.34
SALE00257,2024-01-27,CUST038,PROD045,7,10,No,140.31,218.94
SALE00258,2023-01-26,CUST098,PROD040,9,10,Yes,174.47,227.62
SALE00259,2024-03-10,CUST171,PROD022,7,20,No,31.27,38.83
SALE00260,2023-06-22,CUST019,PROD018,5,5,No,403.03,463.13
SALE00261,2023-10-27,CUST192,PROD023,4,5,No,463.08,620.32
SALE00262,2024-10-06,CUST134,PROD002,4,30,Yes,171.82,270.3
SALE00263,2023-11-22,CUST174,PROD050,8,25,No,147.08,203.04
SALE00264,2024-02-14,CUST116,PROD050,1,0,No,147.08,210.88
SALE00265,2023-04-28,CUST113,PROD011,5,15,Yes,343.71,397.48
SALE00266,2024-12-24,CUST170,PROD031,2,0,Yes,497.96,583.49
SALE00267,2023-08-13,CUST065,PROD033,9,0,No,198.26,264.13
SALE00268,2024-06-15,CUST099,PROD014,7,5,No,244.08,384.58
SALE00269,2023-04-23,CUST072,PROD016,8,5,No,268.9,344.3
SALE00270,2023-05-20,CUST187,PROD011,6,20,No,343.71,528.88
SALE00271,2024-07-12,CUST052,PROD033,9,15,No,198.26,230.01
SALE00272,2023-01-01,CUST118,PROD007,6,30,No,373.08,525.49
SALE00273,2023-03-31,CUST175,PROD031,7,15,No,497.96,697.3
SALE00274,2024-10-15,CUST120,PROD048,7,5,No,232.09,355.08
SALE00275,2023-11-16,CUST007,PROD046,9,15,No,186.57,205.54
SALE00276,2024-07-03,CUST011,PROD047,8,30,No,137.38,164.16
SALE00277,2023-05-19,CUST103,PROD014,1,15,No,244.08,295.3
SALE00278,2024-05-25,CUST061,PROD028,4,15,No,91.45,144.03
SALE00279,2023-09-16,CUST068,PROD043,7,25,No,200.25,235.66
SALE00280,2024-11-03,CUST153,PROD016,8,0,No,268.9,300.76
SALE00281,2024-11-20,CUST140,PROD019,7,15,Yes,489.17,668.81
SALE00282,2023-01-10,CUST154,PROD017,3,20,Yes,223.8,305.33
SALE00283,2023-09-18,CUST102,PROD026,4,30,No,350.75,533.85
SALE00284,2024-10-11,CUST110,PROD006,7,0,No,290.02,456.62
SALE00285,2023-06-21,CUST140,PROD043,8,10,No,200.25,274.2
SALE00286,2023-01-13,CUST171,PROD049,7,15,No,25.83,40.42
SALE00287,2023-06-17,CUST051,PROD009,6,0,No,413.17,604.29
SALE00288,2024-10-03,CUST117,PROD050,9,10,No,147.08,181.24
SALE00289,2024-08-18,CUST165,PROD017,9,5,No,223.8,350.07
SALE00290,2023-11-17,CUST046,PROD031,7,5,No,497.96,713.94
SALE00291,2023-11-15,CUST053,PROD012,8,5,No,126.38,165.18
SALE00292,2024-09-04,CUST088,PROD023,6,10,No,463.08,666.89
SALE00293,2023-11-25,CUST121,PROD005,1,5,No,208.55,271.25
SALE00294,2024-07-03,CUST013,PROD043,1,10,No,200.25,231.71
SALE00295,2024-02-23,CUST089,PROD036,6,5,No,479.76,700.2
SALE00296,2024-08-28,CUST125,PROD036,2,0,No,479.76,725.42
SALE00297,2023-04-05,CUST118,PROD003,8,0,No,222.88,326.39
SALE00298,2024-08-03,CUST054,PROD024,1,0,No,460.37,559.15
SALE00299,2023-11-14,CUST185,PROD017,2,10,No,223.8,353.23
SALE00300,2023-08-24,CUST116,PROD039,8,15,No,62.31,69.33
SALE00301,2023-11-30,CUST118,PROD026,6,0,No,350.75,444.17
SALE00302,2024-01-11,CUST004,PROD004,2,0,Yes,134.3,165.2
SALE00303,2024-04-03,CUST075,PROD045,2,15,Yes,140.31,157.72
SALE00304,2023-05-17,CUST049,PROD012,7,5,No,126.38,164.66
SALE00305,2024-08-10,CUST007,PROD001,5,30,No,131.87,186.14
SALE00306,2024-06-30,CUST110,PROD021,5,15,No,168.12,259.12
SALE00307,2024-05-27,CUST122,PROD019,8,5,No,489.17,780.15
SALE00308,2023-10-23,CUST011,PROD021,7,5,Yes,168.12,252.86
SALE00309,2023-11-16,CUST092,PROD018,9,10,No,403.03,537.78
SALE00310,2024-07-25,CUST182,PROD043,4,0,No,200.25,292.74
SALE00311,2023-12-15,CUST173,PROD003,4,0,No,222.88,339.18
SALE00312,2023-08-17,CUST023,PROD049,2,0,No,25.83,34.42
SALE00313,2023-09-27,CUST028,PROD044,3,15,No,122.4,182.69
SALE00314,2023-10-18,CUST111,PROD032,1,10,No,351.49,471.46
SALE00315,2024-12-25,CUST057,PROD010,1,0,No,374.66,484.53
SALE00316,2023-06-14,CUST026,PROD040,7,15,No,174.47,237.81
SALE00317,2023-01-05,CUST153,PROD015,5,5,No,50.62,72.79
SALE00318,2024-01-14,CUST054,PROD005,3,10,No,208.55,305.2
SALE00319,2023-03-19,CUST029,PROD004,7,0,No,134.3,171.68
SALE00320,2024-02-14,CUST097,PROD028,2,10,Yes,91.45,126.72
SALE00321,2024-07-27,CUST164,PROD004,3,30,Yes,134.3,208.83
SALE00322,2023-05-12,CUST014,PROD015,1,0,No,50.62,80.39
SALE00323,2024-08-23,CUST078,PROD017,8,5,No,223.8,271.61
SALE00324,2023-02-11,CUST035,PROD044,2,0,No,122.4,146.44
SALE00325,2023-03-30,CUST030,PROD003,7,0,No,222.88,320.58
SALE00326,2024-02-06,CUST092,PROD010,9,5,No,374.66,489.81
SALE00327,2023-10-23,CUST017,PROD047,6,20,No,137.38,152.78
SALE00328,2023-10-22,CUST195,PROD042,2,25,No,326.96,416.36
SALE00329,2024-09-07,CUST158,PROD023,2,0,No,463.08,696.18
SALE00330,2024-06-09,CUST093,PROD018,9,10,No,403.03,604.03
SALE00331,2024-11-21,CUST173,PROD001,8,10,Yes,131.87,177.67
SALE00332,2024-09-28,CUST079,PROD035,9,10,No,458.47,612.65
SALE00333,2024-02-26,CUST110,PROD031,4,5,No,497.96,692.04
SALE00334,2023-01-23,CUST179,PROD044,4,0,No,122.4,148.07
SALE00335,2024-07-28,CUST102,PROD001,2,10,No,131.87,179.74
SALE00336,2023-05-23,CUST106,PROD003,1,5,No,222.88,246.4
SALE00337,2024-10-26,CUST047,PROD003,4,15,No,222.88,298.16
SALE00338,2023-05-25,CUST181,PROD037,8,15,No,38.35,48.63
SALE00339,2023-08-13,CUST064,PROD019,2,0,No,489.17,703.15
SALE00340,2024-05-17,CUST166,PROD029,8,0,No,116.24,164.97
SALE00341,2024-09-07,CUST064,PROD025,1,25,No,133.97,172.88
SALE00342,2023-04-14,CUST087,PROD033,1,10,Yes,198.26,218.81
SALE00343,2023-02-08,CUST007,PROD036,4,20,No,479.76,588.25
SALE00344,2023-07-17,CUST022,PROD029,7,0,No,116.24,164.67
SALE00345,2024-10-07,CUST081,PROD026,9,10,No,350.75,398.52
SALE00346,2024-08-01,CUST169,PROD004,5,10,No,134.3,154.96
SALE00347,2024-01-26,CUST074,PROD049,2,20,No,25.83,36.77
SALE00348,2023-06-28,CUST138,PROD014,7,0,No,244.08,360.72
SALE00349,2024-07-07,CUST185,PROD050,2,0,No,147.08,185.43
SALE00350,2024-03-23,CUST135,PROD027,9,5,No,46.96,63.15
SALE00351,2024-05-14,CUST125,PROD033,9,20,No,198.26,311.83
SALE00352,2023-01-15,CUST050,PROD022,3,25,No,31.27,49.18
SALE00353,2024-09-14,CUST052,PROD048,8,30,No,232.09,290.98
SALE00354,2024-10-30,CUST161,PROD003,4,30,No,222.88,335.43
SALE00355,2023-10-16,CUST001,PROD023,3,0,No,463.08,646.91
SALE00356,2024-04-22,CUST181,PROD021,1,0,No,168.12,266.93
SALE00357,2023-08-19,CUST188,PROD041,5,0,No,93.14,124.7
SALE00358,2024-02-24,CUST162,PROD023,4,5,Yes,463.08,688.76
SALE00359,2023-06-06,CUST004,PROD004,1,20,No,134.3,199.31
SALE00360,2024-07-03,CUST145,PROD021,8,20,No,168.12,226.75
SALE00361,2024-03-16,CUST132,PROD037,8,0,No,38.35,57.44
SALE00362,2023-04-07,CUST171,PROD043,8,10,No,200.25,246.41
SALE00363,2024-02-15,CUST004,PROD031,3,25,No,497.96,578.19
SALE00364,2023-10-16,CUST001,PROD021,6,10,No,168.12,220.67
SALE00365,2023-09-11,CUST071,PROD026,7,0,No,350.75,551.31
SALE00366,2023-07-15,CUST178,PROD041,9,10,Yes,93.14,125.77
SALE00367,2024-08-20,CUST189,PROD035,5,5,No,458.47,649.94
SALE00368,2024-06-05,CUST035,PROD038,9,10,No,203.32,287.1
SALE00369,2024-05-31,CUST008,PROD024,6,5,No,460.37,536.92
SALE00370,2024-09-26,CUST152,PROD011,4,0,No,343.71,445.16
SALE00371,2023-04-28,CUST036,PROD041,1,30,No,93.14,135.38
SALE00372,2023-06-08,CUST178,PROD029,1,10,No,116.24,184.36
SALE00373,2023-08-16,CUST123,PROD047,5,10,No,137.38,162.66
